refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,35.98,20,0
VCOMP0,VCOMP0-1,0,-20,0
VCOMP1,VCOMP1-0,35.8678,-5.01362,0.02
VCOMP1,VCOMP1-1,35.8673,-4.98532,0.02
VCOMP1,VCOMP1-2,35.8679,-5.01521,0.02
VCOMP1,VCOMP1-3,35.8673,-4.98585,0.02
VCOMP1,VCOMP1-4,0.10472,4.99097,0.02
VCOMP1,VCOMP1-5,0.104179,5.01801,0.02
VCOMP1,VCOMP1-6,0.10487,4.98348,0.02
VCOMP1,VCOMP1-7,0.104388,5.00754,0.02
VCOMP2,VCOMP2-0,35.9604,-4.92523,0.00702857
VCOMP2,VCOMP2-1,35.9607,-4.96943,0.00702857
VCOMP2,VCOMP2-2,35.961,-5.00961,0.00702857
VCOMP2,VCOMP2-3,35.9616,-5.09573,0.00702857
VCOMP2,VCOMP2-4,35.8781,6.77994,0.00702857
VCOMP2,VCOMP2-5,35.8791,6.63827,0.00702857
VCOMP2,VCOMP2-6,35.8795,6.5818,0.00702857
VCOMP3,VCOMP3-0,0.0158651,6.72499,0.00702857
VCOMP3,VCOMP3-1,0.0164216,6.64581,0.00702857
VCOMP3,VCOMP3-2,0.0165384,6.6292,0.00702857
VCOMP3,VCOMP3-3,0.0986198,-5.04621,0.00702857
VCOMP3,VCOMP3-4,0.0982023,-4.98681,0.00702857
VCOMP3,VCOMP3-5,0.0981021,-4.97255,0.00702857
VCOMP3,VCOMP3-6,0.0982559,-4.99443,0.00702857
